epoch,S_star,p_t,beta_t,omega_t,false_trust_rate,social_welfare,high_type_participation,reward_gini,collusion_success_rate,capital_exclusion_rate,mechanism,seed
77,1.0,0.355,0.8011693778354776,0.3002428560674238,0.22,61.62870265234703,0.7875,0.6761849825659829,0.0,0.2125,pure_stake,1
78,1.0,0.345,0.6662558507089822,0.3215164344663359,0.14,62.16434353015334,0.7875,0.6894565389562737,0.0,0.2125,pure_stake,1
79,1.0,0.35,0.6672439758820785,0.3363760731470064,0.12,61.24443769529949,0.7875,0.6831576678913396,0.0,0.2125,pure_stake,1
80,1.0,0.345,0.6261991736549986,0.30988430093943203,0.18,60.14274185846202,0.7875,0.6869694275437596,0.0,0.2125,pure_stake,1
81,1.0,0.365,0.5954808422362396,0.3292943168869113,0.2,57.80133065472054,0.7875,0.6691520467124654,0.0,0.2125,pure_stake,1
82,1.0,0.36,0.6717377177460654,0.3348778206119253,0.18,53.06374233954518,0.7875,0.6738158977819518,0.0,0.2125,pure_stake,1
83,1.0,0.365,0.7191848662424057,0.3241232014832463,0.22,56.41288404528603,0.8,0.6650925018205053,0.0,0.2,pure_stake,1
84,1.0,0.355,0.7128767999101906,0.33217097483436336,0.2,57.958414024594866,0.8,0.6758792141598496,0.0,0.2,pure_stake,1
85,1.0,0.36,0.6928114189626831,0.3191385230384897,0.14,58.709442140433396,0.8125,0.6735591800138929,0.0,0.1875,pure_stake,1
86,1.0,0.35,0.7267262213562792,0.32269015615032115,0.1,64.671341781328,0.8125,0.6838049245007376,1.0,0.1875,pure_stake,1
87,1.0,0.35,0.7463350484673589,0.3167450376429543,0.22,62.11096447218332,0.8125,0.6824288011144166,0.0,0.1875,pure_stake,1
88,1.0,0.355,0.6980518168759533,0.29415294631404343,0.1267605633802817,60.51217350945931,0.8125,0.6745446410919107,0.0,0.1875,pure_stake,1
89,1.0,0.35,0.7036071368306239,0.28211430985775293,0.10000000000000002,68.20361319906308,0.8125,0.6801478700640499,0.0,0.1875,pure_stake,1
90,1.0,0.34,0.6966775826175798,0.2751840229198922,0.14,60.55010736730721,0.8125,0.6870392164597775,0.0,0.1875,pure_stake,1
91,1.0,0.355,0.7915222804457462,0.3007613659549207,0.16,62.126358377848874,0.8125,0.6738717357843179,0.0,0.1875,pure_stake,1
92,1.0,0.36,0.7591892599528013,0.3162292511489566,0.125,61.919848384384665,0.825,0.6712841040575935,0.0,0.175,pure_stake,1
93,1.0,0.355,0.6535023448131484,0.2946251916499733,0.1,66.11276148953813,0.825,0.674807383028324,0.0,0.175,pure_stake,1
94,1.0,0.375,0.5570029186051234,0.328098016315022,0.14,58.32496914755365,0.825,0.6581697362042479,0.0,0.175,pure_stake,1
95,1.0,0.375,0.6304447225507243,0.3576184320117138,0.18,57.44491448250772,0.825,0.6624817706172187,0.0,0.175,pure_stake,1
96,1.0,0.375,0.5982086750356592,0.3230981358934024,0.22,58.350510503779574,0.825,0.6615571039834219,0.0,0.175,pure_stake,1
97,1.0,0.365,0.7085833984604101,0.31426095545975996,0.08,63.65448161466987,0.825,0.6699598258428894,0.0,0.175,pure_stake,1
98,1.0,0.385,0.6417599991788187,0.3363935110134507,0.2,57.379964450567485,0.825,0.6498881727812036,0.0,0.175,pure_stake,1
99,1.0,0.36,0.6738196630374618,0.34275147030574976,0.18055555555555555,51.96788634495423,0.825,0.6748885500285955,0.0,0.175,pure_stake,1
100,1.0,0.38,0.6262056910424314,0.32879317063997476,0.2,53.07592182979867,0.8375,0.6534953090219046,0.0,0.1625,pure_stake,1
101,1.0,0.37,0.7170477422090856,0.3059061005301165,0.14,61.32788475955191,0.8375,0.6609290576851712,0.0,0.1625,pure_stake,1
102,1.0,0.38,0.6634676723269944,0.3161837199612023,0.18,51.65931803877179,0.8375,0.6483423886643632,0.0,0.1625,pure_stake,1
103,1.0,0.37,0.6724538395169082,0.31504079900131543,0.21621621621621623,53.62127341235144,0.825,0.6619113356373364,0.0,0.175,pure_stake,1
104,1.0,0.355,0.6257754586028426,0.3057113380421669,0.1267605633802817,57.741894846174624,0.825,0.6765689583117437,0.0,0.175,pure_stake,1
105,1.0,0.365,0.7082990904098053,0.3257088612701054,0.2,53.165878251008834,0.825,0.6695867529966155,0.0,0.175,pure_stake,1
106,1.0,0.365,0.6598396695376721,0.31610457886574495,0.16,64.14795934247832,0.825,0.6680728717337485,0.0,0.175,pure_stake,1
107,1.0,0.385,0.48653003945542855,0.35874554900863825,0.2,53.05559340569119,0.825,0.6493340933451501,0.0,0.175,pure_stake,1
108,1.0,0.375,0.6437860536732357,0.3375606124266485,0.12,56.41606982582762,0.825,0.6562279777293243,0.0,0.175,pure_stake,1
109,1.0,0.39,0.5705036881073756,0.33600489680859985,0.2,54.99893613291252,0.8375,0.6401305947862351,0.0,0.1625,pure_stake,1
110,1.0,0.38,0.5299502679700171,0.33567546553800226,0.22,56.74328875211803,0.8375,0.6505881793495071,0.0,0.1625,pure_stake,1
111,1.0,0.4,0.44472445220044765,0.37146562356363644,0.22,49.474803302612976,0.8375,0.6339167360999843,0.0,0.1625,pure_stake,1
112,1.0,0.385,0.5112602605644796,0.3462909562800424,0.24,53.68674948297433,0.8375,0.6483310254554177,0.0,0.1625,pure_stake,1
113,1.0,0.385,0.6356048474713059,0.35309356758521915,0.14,59.94229550323626,0.8375,0.6490898456021721,0.0,0.1625,pure_stake,1
114,1.0,0.39,0.5964363479931534,0.33348484264946937,0.24,48.59777632362435,0.8375,0.6421778250629162,0.0,0.1625,pure_stake,1
115,1.0,0.385,0.6919612247187036,0.3264883347926282,0.16,55.704103948259345,0.8375,0.6461370411627002,0.0,0.1625,pure_stake,1
116,1.0,0.385,0.6800958622858859,0.32112866039159327,0.22,56.011211272834366,0.8375,0.6480332547736107,1.0,0.1625,pure_stake,1
117,1.0,0.385,0.6882657221050965,0.3058581250819963,0.16,55.88393295845764,0.8375,0.646969612839177,1.0,0.1625,pure_stake,1
118,1.0,0.365,0.5902625770060617,0.2970457480459433,0.2,55.974642964951826,0.8375,0.663262658214209,0.0,0.1625,pure_stake,1
119,1.0,0.36,0.6908009589189466,0.29626458181025533,0.1,59.97105082741096,0.8375,0.670233016805584,0.0,0.1625,pure_stake,1
120,1.0,0.375,0.612131464662022,0.31407133208365134,0.16,54.93041127621649,0.85,0.6588822573220997,0.0,0.15,pure_stake,1
121,1.0,0.385,0.6482480483530682,0.3344441101704504,0.16,56.67275958804677,0.85,0.6500091828595345,0.0,0.15,pure_stake,1
122,1.0,0.385,0.6905487098363451,0.3146990514396191,0.16,60.99351641572834,0.85,0.6509188133265514,0.0,0.15,pure_stake,1
123,1.0,0.365,0.619231438705874,0.3339137264429771,0.1,63.61049012551467,0.85,0.6714128113455786,0.0,0.15,pure_stake,1
124,1.0,0.38,0.64233507048728,0.3262030919030304,0.18,56.29081969108322,0.85,0.6566513936911494,0.0,0.15,pure_stake,1
125,1.0,0.39,0.773140394032446,0.35424191756570045,0.14,57.398539708794644,0.85,0.6466449934485474,0.0,0.15,pure_stake,1
126,1.0,0.395,0.6675136789700149,0.37858278157136854,0.22,53.16008934519745,0.8625,0.6432817281930009,0.0,0.1375,pure_stake,1
127,1.0,0.415,0.6095885765601643,0.3651537479452072,0.24,50.47635635423624,0.8625,0.6200295518640055,0.0,0.1375,pure_stake,1
128,1.0,0.4,0.7530669094725226,0.3517618570869857,0.16,58.323349426853,0.85,0.6337812827011301,0.0,0.15,pure_stake,1
129,1.0,0.42,0.5826103670641346,0.35528104023633605,0.22,48.13431076581216,0.8625,0.615276830517229,0.0,0.1375,pure_stake,1
130,1.0,0.39,0.687433220476888,0.3191765634704939,0.22,55.95128745343669,0.8625,0.6406093913454256,0.0,0.1375,pure_stake,1
131,1.0,0.4,0.6681339354257052,0.3553075541970016,0.22,54.3716001367776,0.8625,0.6364365899106852,0.0,0.1375,pure_stake,1
132,1.0,0.385,0.5536310967068673,0.374378088002468,0.16,55.35440623422042,0.85,0.6522185936847483,0.0,0.15,pure_stake,1
133,1.0,0.38,0.5873954804442811,0.34709623619275387,0.16,55.70033476731777,0.85,0.658389644765699,0.0,0.15,pure_stake,1
134,1.0,0.365,0.7004864532206632,0.30380485577574784,0.14,62.86121483326326,0.85,0.6691808844764663,0.0,0.15,pure_stake,1
135,1.0,0.355,0.6670836878135564,0.3018620423065949,0.12,66.80831539740397,0.8625,0.6784236276463212,0.0,0.1375,pure_stake,1
136,1.0,0.365,0.734132726633737,0.2879633977704032,0.08,63.51450098509539,0.85,0.6671054980166289,0.0,0.15,pure_stake,1
137,1.0,0.375,0.6880277096953528,0.29961183023457444,0.14,56.3248841166716,0.85,0.6593670563729546,0.0,0.15,pure_stake,1
138,1.0,0.37,0.6856891118597036,0.3197369064177241,0.17567567567567569,56.43712911757126,0.85,0.6659408805647171,0.0,0.15,pure_stake,1
139,1.0,0.355,0.6265048191837422,0.34370826805390536,0.09859154929577466,62.94847962025683,0.85,0.6826347044547456,0.0,0.15,pure_stake,1
140,1.0,0.375,0.6592999674829986,0.3573417696723869,0.2,56.46002295790491,0.85,0.6655217594893746,0.0,0.15,pure_stake,1
141,1.0,0.385,0.6006155829007661,0.3593354955043469,0.14,58.335665542534024,0.85,0.6536075509312818,0.0,0.15,pure_stake,1
142,1.0,0.375,0.618977101652663,0.34449842324697544,0.18,57.44095029597075,0.85,0.6593213855660642,0.0,0.15,pure_stake,1
143,1.0,0.365,0.6788492030051704,0.29461770915238333,0.12,62.00166203543365,0.85,0.6682490345444491,0.0,0.15,pure_stake,1
144,1.0,0.35,0.7469287601132744,0.30334306903201813,0.04,70.06980025959825,0.85,0.6849963362802085,0.0,0.15,pure_stake,1
145,1.0,0.36,0.6186053610927593,0.27741222415117983,0.125,62.5094812545216,0.85,0.6721761049583788,0.0,0.15,pure_stake,1
146,1.0,0.37,0.7740176588550405,0.28304450709605405,0.1,59.8514986402883,0.875,0.6619698522786921,0.0,0.125,pure_stake,1
147,1.0,0.365,0.7739485486368458,0.28730086837381374,0.08,65.1279664155217,0.875,0.6664224576315654,0.0,0.125,pure_stake,1
148,1.0,0.385,0.780058264465905,0.3057311470349181,0.12,63.073768020212924,0.875,0.6497711127765673,0.0,0.125,pure_stake,1
149,1.0,0.375,0.6811734399680544,0.32275616455307565,0.1,62.95699849338359,0.875,0.6609326199697116,0.0,0.125,pure_stake,1
