rho_corr,mse_inverse_variance,mse_gls
0.0,0.0016917035723269542,0.0016917035723269542
0.2,0.004715802319764481,0.003325205730523692
0.4,0.00777377884670573,0.003378973974305759
0.6,0.010617490049951973,0.0027343618157425207
0.8,0.01335298210455718,0.001445367524830514
