mechanism,metric,mean,ci95,n_replications
abi,false_trust_rate,6.666666666666667e-06,1.3066666666666663e-05,20
abi,social_welfare,73.33315756865446,0.1913919434697079,20
abi,high_type_participation,0.9667250000000001,0.0214350444558569,20
abi,reward_gini,0.6802319298371817,0.008249368097250498,20
abi,collusion_success_rate,0.483,0.1649591935079916,20
abi,capital_exclusion_rate,0.033275,0.02143504445585689,20
pure_reputation,false_trust_rate,0.06273333333333334,0.0009762562409292025,20
pure_reputation,social_welfare,27.124571956494655,0.1347709488259896,20
pure_reputation,high_type_participation,1.0,0.0,20
pure_reputation,reward_gini,0.2478883269163405,0.0011458020209937452,20
pure_reputation,collusion_success_rate,0.698,0.19514099012183722,20
pure_reputation,capital_exclusion_rate,0.0,0.0,20
pure_stake,false_trust_rate,0.15868381353321767,0.0033863421536878082,20
pure_stake,social_welfare,57.384478756696616,0.34912622953671024,20
pure_stake,high_type_participation,0.8384208333333334,0.015302367000475853,20
pure_stake,reward_gini,0.6575508075132083,0.0060302721819626304,20
pure_stake,collusion_success_rate,0.4640000000000001,0.18460666264357214,20
pure_stake,capital_exclusion_rate,0.16157916666666666,0.01530236700047582,20
yuma_like,false_trust_rate,0.005406666666666667,0.0007450895097529287,20
yuma_like,social_welfare,68.5481941087435,0.16488846401071233,20
yuma_like,high_type_participation,0.8408333333333333,0.01506093879633342,20
yuma_like,reward_gini,0.692873272150708,0.005376111777554307,20
yuma_like,collusion_success_rate,0.4713333333333334,0.19057704393460873,20
yuma_like,capital_exclusion_rate,0.15916666666666665,0.015060938796333394,20
