pi_L,phi_min,phi_max
0.1,0.24999999999999997,0.31249999999999994
0.11,0.22727272727272727,0.31249999999999994
0.12000000000000001,0.2083333333333333,0.31249999999999994
0.13,0.1923076923076923,0.31249999999999994
0.14,0.17857142857142855,0.31249999999999994
0.15000000000000002,0.16666666666666663,0.31249999999999994
0.16,0.15624999999999997,0.31249999999999994
0.17,0.14705882352941174,0.31249999999999994
0.18,0.1388888888888889,0.31249999999999994
0.19,0.13157894736842105,0.31249999999999994
0.2,0.12499999999999999,0.31249999999999994
0.21000000000000002,0.11904761904761903,0.31249999999999994
0.22,0.11363636363636363,0.31249999999999994
0.23,0.10869565217391303,0.31249999999999994
0.24000000000000002,0.10416666666666664,0.31249999999999994
0.25,0.09999999999999999,0.31249999999999994
0.26,0.09615384615384615,0.31249999999999994
0.27,0.09259259259259257,0.31249999999999994
0.28,0.08928571428571427,0.31249999999999994
0.29000000000000004,0.08620689655172412,0.31249999999999994
0.30000000000000004,0.08333333333333331,0.31249999999999994
0.31,0.08064516129032258,0.31249999999999994
0.32,0.07812499999999999,0.31249999999999994
0.33,0.07575757575757575,0.31249999999999994
0.33999999999999997,0.07352941176470588,0.31249999999999994
0.35,0.07142857142857142,0.31249999999999994
0.36,0.06944444444444445,0.31249999999999994
0.37,0.06756756756756756,0.31249999999999994
0.38,0.06578947368421052,0.31249999999999994
0.39,0.0641025641025641,0.31249999999999994
0.4,0.06249999999999999,0.31249999999999994
0.41000000000000003,0.06097560975609755,0.31249999999999994
0.42000000000000004,0.059523809523809514,0.31249999999999994
0.43000000000000005,0.058139534883720916,0.31249999999999994
0.44000000000000006,0.05681818181818181,0.31249999999999994
0.45000000000000007,0.055555555555555546,0.31249999999999994
0.45999999999999996,0.05434782608695652,0.31249999999999994
0.47,0.05319148936170213,0.31249999999999994
0.48,0.05208333333333333,0.31249999999999994
0.49,0.0510204081632653,0.31249999999999994
0.5,0.049999999999999996,0.31249999999999994
0.51,0.04901960784313725,0.31249999999999994
0.52,0.04807692307692307,0.31249999999999994
0.53,0.04716981132075471,0.31249999999999994
0.54,0.04629629629629629,0.31249999999999994
0.55,0.04545454545454545,0.31249999999999994
0.56,0.04464285714285714,0.31249999999999994
0.5700000000000001,0.04385964912280701,0.31249999999999994
0.58,0.043103448275862065,0.31249999999999994
0.59,0.0423728813559322,0.31249999999999994
0.6,0.041666666666666664,0.31249999999999994
