kappa,xi,zeta,Lambda
0.9491525423728814,0.2,0.3,0.5954237288135593
0.9661016949152542,0.2,0.3,0.5869491525423729
0.9830508474576272,0.2,0.3,0.5784745762711865
1.0,0.2,0.3,0.5700000000000001
0.0,0.4,0.5,1.13
0.01694915254237288,0.4,0.5,1.1215254237288135
0.03389830508474576,0.4,0.5,1.113050847457627
0.05084745762711865,0.4,0.5,1.1045762711864406
0.06779661016949153,0.4,0.5,1.0961016949152542
0.0847457627118644,0.4,0.5,1.0876271186440678
0.1016949152542373,0.4,0.5,1.0791525423728814
0.11864406779661017,0.4,0.5,1.070677966101695
0.13559322033898305,0.4,0.5,1.0622033898305085
0.15254237288135594,0.4,0.5,1.0537288135593221
0.1694915254237288,0.4,0.5,1.0452542372881357
0.1864406779661017,0.4,0.5,1.036779661016949
0.2033898305084746,0.4,0.5,1.0283050847457627
0.22033898305084745,0.4,0.5,1.0198305084745762
0.23728813559322035,0.4,0.5,1.0113559322033898
0.2542372881355932,0.4,0.5,1.0028813559322034
0.2711864406779661,0.4,0.5,0.994406779661017
0.288135593220339,0.4,0.5,0.9859322033898306
0.3050847457627119,0.4,0.5,0.977457627118644
0.3220338983050847,0.4,0.5,0.9689830508474576
0.3389830508474576,0.4,0.5,0.9605084745762712
0.3559322033898305,0.4,0.5,0.9520338983050848
0.3728813559322034,0.4,0.5,0.9435593220338984
0.3898305084745763,0.4,0.5,0.9350847457627118
0.4067796610169492,0.4,0.5,0.9266101694915254
0.423728813559322,0.4,0.5,0.918135593220339
0.4406779661016949,0.4,0.5,0.9096610169491526
0.4576271186440678,0.4,0.5,0.9011864406779662
0.4745762711864407,0.4,0.5,0.8927118644067796
0.4915254237288136,0.4,0.5,0.8842372881355932
0.5084745762711864,0.4,0.5,0.8757627118644068
0.5254237288135594,0.4,0.5,0.8672881355932203
0.5423728813559322,0.4,0.5,0.8588135593220338
0.559322033898305,0.4,0.5,0.8503389830508474
0.576271186440678,0.4,0.5,0.841864406779661
0.5932203389830508,0.4,0.5,0.8333898305084746
0.6101694915254238,0.4,0.5,0.8249152542372882
0.6271186440677966,0.4,0.5,0.8164406779661018
0.6440677966101694,0.4,0.5,0.8079661016949153
0.6610169491525424,0.4,0.5,0.7994915254237288
0.6779661016949152,0.4,0.5,0.7910169491525424
0.6949152542372882,0.4,0.5,0.7825423728813559
0.711864406779661,0.4,0.5,0.7740677966101694
0.7288135593220338,0.4,0.5,0.765593220338983
0.7457627118644068,0.4,0.5,0.7571186440677966
0.7627118644067796,0.4,0.5,0.7486440677966102
0.7796610169491526,0.4,0.5,0.7401694915254238
0.7966101694915254,0.4,0.5,0.7316949152542374
0.8135593220338984,0.4,0.5,0.7232203389830508
0.8305084745762712,0.4,0.5,0.7147457627118644
0.847457627118644,0.4,0.5,0.706271186440678
0.864406779661017,0.4,0.5,0.6977966101694915
0.8813559322033898,0.4,0.5,0.689322033898305
0.8983050847457628,0.4,0.5,0.6808474576271186
0.9152542372881356,0.4,0.5,0.6723728813559322
0.9322033898305084,0.4,0.5,0.6638983050847458
0.9491525423728814,0.4,0.5,0.6554237288135594
0.9661016949152542,0.4,0.5,0.646949152542373
0.9830508474576272,0.4,0.5,0.6384745762711864
1.0,0.4,0.5,0.63
0.0,0.8,0.8,1.24
0.01694915254237288,0.8,0.8,1.2315254237288136
0.03389830508474576,0.8,0.8,1.2230508474576272
0.05084745762711865,0.8,0.8,1.2145762711864407
0.06779661016949153,0.8,0.8,1.2061016949152543
0.0847457627118644,0.8,0.8,1.197627118644068
0.1016949152542373,0.8,0.8,1.1891525423728815
0.11864406779661017,0.8,0.8,1.1806779661016948
0.13559322033898305,0.8,0.8,1.1722033898305084
0.15254237288135594,0.8,0.8,1.163728813559322
0.1694915254237288,0.8,0.8,1.1552542372881356
0.1864406779661017,0.8,0.8,1.1467796610169492
0.2033898305084746,0.8,0.8,1.1383050847457628
0.22033898305084745,0.8,0.8,1.1298305084745763
0.23728813559322035,0.8,0.8,1.12135593220339
0.2542372881355932,0.8,0.8,1.1128813559322035
0.2711864406779661,0.8,0.8,1.104406779661017
0.288135593220339,0.8,0.8,1.0959322033898307
0.3050847457627119,0.8,0.8,1.087457627118644
0.3220338983050847,0.8,0.8,1.0789830508474576
0.3389830508474576,0.8,0.8,1.0705084745762712
0.3559322033898305,0.8,0.8,1.0620338983050848
