mechanism,kappa_A,social_welfare,false_trust_rate
pure_stake,0.02,59.91003237937758,0.15238988264297074
yuma_like,0.02,70.28601599741607,0.013333333333333332
abi,0.02,75.61078801239644,0.0013333333333333333
pure_stake,0.05,59.61003237937759,0.15238988264297074
yuma_like,0.05,69.98601599741609,0.013333333333333332
abi,0.05,75.31078801239644,0.0013333333333333333
pure_stake,0.1,59.11003237937759,0.15238988264297074
yuma_like,0.1,69.48601599741609,0.013333333333333332
abi,0.1,74.81078801239644,0.0013333333333333333
