mechanism,seed,final_S_star,false_trust_rate,social_welfare,high_type_participation,reward_gini,collusion_success_rate,capital_exclusion_rate
pure_reputation,6,1.0,0.06253333333333333,27.50745946089862,1.0,0.2513461828093815,0.08,0.0
pure_reputation,7,1.0,0.06346666666666666,26.986356278482653,1.0,0.24664387976766391,1.0,0.0
pure_reputation,8,1.0,0.06346666666666666,27.060748228552857,1.0,0.24877319390446057,0.0,0.0
pure_reputation,9,1.0,0.06199999999999999,27.49877982337092,1.0,0.25165003651052315,0.006666666666666667,0.0
pure_reputation,10,1.0,0.05946666666666667,26.985984539233552,1.0,0.24942306005892695,1.0,0.0
pure_reputation,11,1.0,0.06346666666666666,27.078160639693095,1.0,0.24426916129875068,0.9666666666666667,0.0
pure_reputation,12,1.0,0.06146666666666667,27.440032460250336,1.0,0.2499884996023782,0.8733333333333333,0.0
pure_reputation,13,1.0,0.0644,26.839852277456558,1.0,0.2444829254613351,1.0,0.0
pure_reputation,14,1.0,0.06106666666666666,27.43349405163117,1.0,0.24864838705632403,0.9266666666666666,0.0
pure_reputation,15,1.0,0.061866666666666674,27.008152001348883,1.0,0.24594307352426892,1.0,0.0
pure_reputation,16,1.0,0.06613333333333332,27.394048168642474,1.0,0.24972153060820446,0.9866666666666667,0.0
pure_reputation,17,1.0,0.0632,27.184883093188123,1.0,0.24982037716269553,0.0,0.0
pure_reputation,18,1.0,0.06386666666666667,26.889447948980074,1.0,0.24555986443547748,0.9866666666666667,0.0
pure_reputation,19,1.0,0.06533333333333334,27.143172905706216,1.0,0.2504032748216637,1.0,0.0
pure_reputation,20,1.0,0.0656,26.770452397087073,1.0,0.24542714435473353,1.0,0.0
yuma_like,1,1.0,0.0033333333333333335,69.04130471125622,0.8486666666666668,0.6915648535936608,0.02666666666666667,0.1513333333333333
yuma_like,2,1.0,0.0045333333333333345,68.75918120344882,0.8320833333333334,0.6970604542184133,0.09333333333333334,0.16791666666666671
yuma_like,3,1.0,0.004266666666666667,69.28204518611737,0.8477500000000001,0.6920261757707582,1.0,0.15225
yuma_like,4,1.0,0.006266666666666667,68.12102624085993,0.8144999999999999,0.6999613270856784,0.9466666666666667,0.18549999999999997
yuma_like,5,1.0,0.004266666666666667,68.59695218115506,0.8565000000000002,0.686916943835625,0.25333333333333335,0.14350000000000002
yuma_like,6,1.0,0.005600000000000001,68.85463081465704,0.8298333333333335,0.6965933610556398,0.02,0.17016666666666666
yuma_like,7,1.0,0.0030666666666666663,68.24099658841901,0.8995000000000001,0.6697632007292343,0.98,0.10049999999999998
yuma_like,8,1.0,0.0041333333333333335,68.65242699410284,0.8924166666666667,0.6770773382045397,0.013333333333333334,0.10758333333333335
yuma_like,9,1.0,0.004533333333333334,68.4143198654269,0.8703333333333336,0.6810427674310773,0.15333333333333332,0.12966666666666662
yuma_like,10,1.0,0.005466666666666667,68.67318180052793,0.8310000000000002,0.6975525062459682,1.0,0.169
yuma_like,11,1.0,0.0084,68.22429485858133,0.8035833333333332,0.7055855962494142,0.013333333333333334,0.1964166666666666
yuma_like,12,1.0,0.004666666666666666,68.99431581212191,0.8159999999999998,0.7025887178200265,0.34,0.184
yuma_like,13,1.0,0.009066666666666667,68.08425972869071,0.7818333333333334,0.7120462241377326,0.7333333333333333,0.21816666666666668
yuma_like,14,1.0,0.006133333333333334,68.893161599749,0.8491666666666668,0.69044037718482,0.12666666666666668,0.15083333333333337
yuma_like,15,1.0,0.0036000000000000003,68.88414951678004,0.8594999999999997,0.6878078273586796,0.86,0.1405
yuma_like,16,1.0,0.005866666666666667,68.49042186919898,0.85075,0.6900465022896454,0.8266666666666667,0.14925
yuma_like,17,1.0,0.008133333333333334,68.49288841015492,0.7580833333333333,0.7231772528781942,0.0,0.24191666666666664
yuma_like,18,1.0,0.005999999999999999,67.90917165537222,0.8542500000000003,0.6877307128167786,0.04666666666666667,0.14575
yuma_like,19,1.0,0.004,68.22825145793406,0.8731666666666669,0.6799377671507714,0.9933333333333333,0.12683333333333338
yuma_like,20,1.0,0.0068000000000000005,68.12690168031598,0.8477499999999999,0.6885455369574999,1.0,0.15224999999999994
abi,1,0.8738587256703612,0.0,73.57232403289821,0.9678333333333334,0.6802178479788898,0.013333333333333334,0.03216666666666666
abi,2,0.8801340617555006,0.0,73.19355110816737,0.9938333333333332,0.6697728644203361,0.08,0.006166666666666667
abi,3,0.813972386018363,0.0,73.15443192339818,1.0,0.6652187547720599,0.9,0.0
abi,4,0.9619250915563188,0.0,73.72578228400853,0.9063333333333332,0.7032603369693032,0.74,0.09366666666666668
abi,5,0.9203334164804956,0.0,72.94924860500167,0.995,0.666714693774609,0.5,0.005
abi,6,0.7867415853262757,0.0,73.32452364785453,0.9875,0.6729256650895076,0.02666666666666667,0.0125
abi,7,0.875376983409267,0.0,72.86296450926903,0.9894166666666666,0.6696008063001461,0.9133333333333333,0.010583333333333335
abi,8,0.8539027053059519,0.0,72.94760103887559,0.9978333333333335,0.6698066664194634,0.0,0.0021666666666666666
abi,9,0.7938888082202177,0.0,73.26474434710504,0.9796666666666666,0.6747045623423268,0.05333333333333334,0.020333333333333335
abi,10,0.835940863973598,0.0,73.48906854821769,0.9639166666666665,0.6835150100116165,1.0,0.036083333333333335
abi,11,0.8913716763355659,0.0,73.5193314160109,0.9596666666666666,0.683569861387572,0.2866666666666667,0.04033333333333333
abi,12,0.8101532549438538,0.0,73.88510139780114,0.9643333333333334,0.6840525310543734,0.52,0.03566666666666667
abi,13,0.8770058718655949,0.0,74.01265744101123,0.89575,0.7084029642530134,0.5333333333333333,0.10425000000000001
abi,14,0.8178752103276686,0.0,73.41140611169585,0.9884166666666666,0.6728205831162655,0.4533333333333333,0.011583333333333334
abi,15,0.8386193662068986,0.0,73.26696074946828,0.9881666666666666,0.6727539992787954,0.9933333333333333,0.011833333333333333
abi,16,0.8795781606372074,0.0,73.25310524258535,0.9820833333333333,0.6755125621614498,0.52,0.017916666666666668
abi,17,1.2867601103592143,0.00013333333333333334,74.38307967983395,0.7972499999999999,0.7437177436282592,0.0,0.20274999999999996
abi,18,0.8579088775312754,0.0,73.0553810985908,0.9859166666666666,0.6733113370073234,0.26666666666666666,0.014083333333333335
abi,19,0.9135487948435662,0.0,72.64627377040891,0.9996666666666666,0.6656296024450422,0.88,0.0003333333333333334
abi,20,0.8743281548050645,0.0,72.74561442088711,0.9919166666666667,0.6691302043332809,0.98,0.008083333333333335
