theta,pi_theta,marginal_return,s_star
0.7687368078106284,0.13094211726628008,0.007977524755383589,0.07977524755383589
0.15367745762984852,0.346212889829553,-0.020007675677841893,0.0
0.3262972578492902,0.2857959597527484,-0.0121534747678573,0.0
0.827238421640167,0.11046655242594156,0.010639348184627596,0.10639348184627596
0.48353827830790225,0.23076160259223422,-0.004999008336990452,0.0
0.7760967004948838,0.1283661548267907,0.008312399872517206,0.08312399872517207
0.1931650154737753,0.33239224458417865,-0.018210991795943227,0.0
0.6448673909088856,0.17429641318189004,0.0023414662863542914,0.023414662863542914
0.5171522702256081,0.2189967054210372,-0.0034695717047348376,0.0
0.5493364109068043,0.2077322561826185,-0.00200519330374041,0.0
0.5337328928885867,0.21319348748899467,-0.002715153373569309,0.0
0.17925019015465057,0.3372624334458723,-0.018844116347963406,0.0
0.280491223059095,0.30182807192931677,-0.01423764935081118,0.0
0.33711642247498863,0.282009252133754,-0.011661202777388021,0.0
0.15780700754318114,0.34476754735988663,-0.019819781156785263,0.0
0.6807836108502819,0.16172573620240133,0.003975654293687826,0.03975654293687826
0.48937907444477424,0.22871732394432903,-0.004733252112762779,0.0
0.6544363389434757,0.1709472813697835,0.0027768534219281445,0.027768534219281445
0.6135604465391138,0.18525384371131018,0.0009170003175296738,0.009170003175296738
0.4035913794426917,0.2587430171950579,-0.008636592235357527,0.0
0.24841897718963382,0.3130533579836282,-0.01569693653787167,0.0
0.6985934116321245,0.15549230592875643,0.00478600022926166,0.0478600022926166
0.6655553058047902,0.16705564296832345,0.0032827664141179477,0.03282766414117948
0.5242845018516896,0.21650042435190864,-0.0031450551657481243,0.0
0.6792692568891533,0.16225576008879636,0.003906751188456469,0.03906751188456469
0.41533472211854805,0.2546328472585082,-0.00810227014360607,0.0
0.3797957605728912,0.2670714837994881,-0.009719292893933456,0.0
0.38121128217051,0.2665760512403215,-0.009654886661241802,0.0
0.35508245587846543,0.2757211404425371,-0.010843748257529828,0.0
