variant,metric,marginal_effect_vs_full_ABI,variant_value,full_abi_value
abi_no_audit,false_trust_rate,-0.0002777777777777774,0.0028333333333333335,0.003111111111111111
abi_no_audit,social_welfare,-0.031243900883040965,74.70507386813509,74.73631776901813
abi_no_audit,capital_exclusion_rate,-0.002083333333333326,0.07493055555555556,0.07701388888888888
abi_no_credit,false_trust_rate,0.24599999999999997,0.2491111111111111,0.003111111111111111
abi_no_credit,social_welfare,1.216187955678393,75.95250572469652,74.73631776901813
abi_no_credit,capital_exclusion_rate,0.3453125,0.4223263888888889,0.07701388888888888
abi_no_dynamic,false_trust_rate,-0.003111111111111111,0.0,0.003111111111111111
abi_no_dynamic,social_welfare,0.3835292563358621,75.11984702535399,74.73631776901813
abi_no_dynamic,capital_exclusion_rate,-0.0614236111111111,0.015590277777777778,0.07701388888888888
abi_no_reliability,false_trust_rate,0.0016111111111111113,0.004722222222222222,0.003111111111111111
abi_no_reliability,social_welfare,-0.19988995893018568,74.53642781008794,74.73631776901813
abi_no_reliability,capital_exclusion_rate,0.006979166666666689,0.08399305555555557,0.07701388888888888
